[task 000 | arm cli-only | trial 0] stop=end_turn tool_calls=1 rejected=0 tokens=3982 artifacts=1
[task 017 | arm cli-skills | trial 0] stop=end_turn tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 018 | arm cli-only | trial 0] stop=end_turn tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 018 | arm cli-skills | trial 0] stop=end_turn tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 019 | arm cli-only | trial 0] stop=end_turn tool_calls=2 rejected=0 tokens=1935 artifacts=0
[task 019 | arm cli-skills | trial 0] stop=end_turn tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 020 | arm cli-only | trial 0] stop=end_turn tool_calls=1 rejected=0 tokens=1861 artifacts=0
[task 020 | arm cli-skills | trial 0] stop=end_turn tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 021 | arm cli-only | trial 0] stop=end_turn tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 021 | arm cli-skills | trial 0] stop=end_turn tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 022 | arm cli-only | trial 0] stop=end_turn tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 022 | arm cli-skills | trial 0] stop=end_turn tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 023 | arm cli-only | trial 0] stop=end_turn tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 023 | arm cli-skills | trial 0] stop=end_turn tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 024 | arm cli-only | trial 0] stop=end_turn tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 024 | arm cli-skills | trial 0] stop=end_turn tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 025 | arm cli-only | trial 0] stop=end_turn tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 025 | arm cli-skills | trial 0] stop=end_turn tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 026 | arm cli-only | trial 0] stop=end_turn tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 026 | arm cli-skills | trial 0] stop=end_turn tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 027 | arm cli-only | trial 0] stop=end_turn tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 027 | arm cli-skills | trial 0] stop=end_turn tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 028 | arm cli-only | trial 0] stop=end_turn tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 028 | arm cli-skills | trial 0] stop=end_turn tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 029 | arm cli-only | trial 0] stop=end_turn tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 029 | arm cli-skills | trial 0] stop=end_turn tool_calls=0 rejected=0 tokens=9219 artifacts=0
[task 030 | arm cli-only | trial 0] stop=end_turn tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 030 | arm cli-skills | trial 0] stop=end_turn tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 031 | arm cli-only | trial 0] stop=end_turn tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 031 | arm cli-skills | trial 0] stop=end_turn tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 032 | arm cli-only | trial 0] stop=end_turn tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 032 | arm cli-skills | trial 0] stop=end_turn tool_calls=1 rejected=0 tokens=3707 artifacts=0
[task 033 | arm cli-only | trial 0] stop=end_turn tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 033 | arm cli-skills | trial 0] stop=end_turn tool_calls=0 rejected=0 tokens=3706 artifacts=0
[task 034 | arm cli-only | trial 0] stop=end_turn tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 034 | arm cli-skills | trial 0] stop=end_turn tool_calls=2 rejected=0 tokens=3725 artifacts=0
[task 035 | arm cli-only | trial 0] stop=end_turn tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 035 | arm cli-skills | trial 0] stop=end_turn tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 036 | arm cli-only | trial 0] stop=end_turn tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 036 | arm cli-skills | trial 0] stop=end_turn tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 037 | arm cli-only | trial 0] stop=end_turn tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 037 | arm cli-skills | trial 0] stop=end_turn tool_calls=2 rejected=0 tokens=3663 artifacts=0
[task 038 | arm cli-only | trial 0] stop=end_turn tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 038 | arm cli-skills | trial 0] stop=end_turn tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 039 | arm cli-only | trial 0] stop=end_turn tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 039 | arm cli-skills | trial 0] stop=end_turn tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 040 | arm cli-only | trial 0] stop=end_turn tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 040 | arm cli-skills | trial 0] stop=end_turn tool_calls=1 rejected=0 tokens=3640 artifacts=0
[task 041 | arm cli-only | trial 0] stop=end_turn tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 041 | arm cli-skills | trial 0] stop=end_turn tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 042 | arm cli-only | trial 0] stop=end_turn tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 042 | arm cli-skills | trial 0] stop=end_turn tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 043 | arm cli-only | trial 0] stop=end_turn tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 043 | arm cli-skills | trial 0] stop=end_turn tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 044 | arm cli-only | trial 0] stop=end_turn tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 044 | arm cli-skills | trial 0] stop=end_turn tool_calls=1 rejected=0 tokens=3758 artifacts=0
[task 045 | arm cli-only | trial 0] stop=end_turn tool_calls=2 rejected=0 tokens=4089 artifacts=0
[task 045 | arm cli-skills | trial 0] stop=end_turn tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 046 | arm cli-only | trial 0] stop=setup_failed tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 046 | arm cli-skills | trial 0] stop=setup_failed tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 047 | arm cli-only | trial 0] stop=end_turn tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 047 | arm cli-skills | trial 0] stop=end_turn tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 048 | arm cli-only | trial 0] stop=end_turn tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 048 | arm cli-skills | trial 0] stop=end_turn tool_calls=0 rejected=0 tokens=3730 artifacts=0
[task 049 | arm cli-only | trial 0] stop=end_turn tool_calls=1 rejected=0 tokens=1989 artifacts=0
[task 049 | arm cli-skills | trial 0] stop=end_turn tool_calls=2 rejected=0 tokens=3952 artifacts=0
[task 050 | arm cli-only | trial 0] stop=end_turn tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 050 | arm cli-skills | trial 0] stop=end_turn tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 051 | arm cli-only | trial 0] stop=setup_failed tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 051 | arm cli-skills | trial 0] stop=setup_failed tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 052 | arm cli-only | trial 0] stop=end_turn tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 052 | arm cli-skills | trial 0] stop=end_turn tool_calls=2 rejected=0 tokens=3911 artifacts=0
[task 053 | arm cli-only | trial 0] stop=end_turn tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 053 | arm cli-skills | trial 0] stop=end_turn tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 054 | arm cli-only | trial 0] stop=end_turn tool_calls=2 rejected=0 tokens=1951 artifacts=0
[task 054 | arm cli-skills | trial 0] stop=end_turn tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 055 | arm cli-only | trial 0] stop=setup_failed tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 055 | arm cli-skills | trial 0] stop=setup_failed tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 056 | arm cli-only | trial 0] stop=end_turn tool_calls=1 rejected=0 tokens=1987 artifacts=0
[task 056 | arm cli-skills | trial 0] stop=end_turn tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 057 | arm cli-only | trial 0] stop=end_turn tool_calls=12 rejected=0 tokens=38154 artifacts=0
[task 057 | arm cli-skills | trial 0] stop=end_turn tool_calls=11 rejected=0 tokens=89896 artifacts=0
[task 058 | arm cli-only | trial 0] stop=max_turns tool_calls=25 rejected=8 tokens=235425 artifacts=0
[task 058 | arm cli-skills | trial 0] stop=end_turn tool_calls=6 rejected=0 tokens=20220 artifacts=0
[task 059 | arm cli-only | trial 0] stop=setup_failed tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 059 | arm cli-skills | trial 0] stop=setup_failed tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 060 | arm cli-only | trial 0] stop=end_turn tool_calls=16 rejected=0 tokens=201230 artifacts=0
[task 060 | arm cli-skills | trial 0] stop=end_turn tool_calls=14 rejected=0 tokens=75481 artifacts=0
[task 061 | arm cli-only | trial 0] stop=end_turn tool_calls=57 rejected=4 tokens=266435 artifacts=0
[task 061 | arm cli-skills | trial 0] stop=end_turn tool_calls=44 rejected=0 tokens=83568 artifacts=0
[task 062 | arm cli-only | trial 0] stop=max_turns tool_calls=25 rejected=1 tokens=172705 artifacts=0
[task 062 | arm cli-skills | trial 0] stop=end_turn tool_calls=23 rejected=0 tokens=137592 artifacts=0
[task 063 | arm cli-only | trial 0] stop=end_turn tool_calls=37 rejected=5 tokens=73064 artifacts=0
[task 063 | arm cli-skills | trial 0] stop=end_turn tool_calls=50 rejected=0 tokens=151911 artifacts=0
[task 064 | arm cli-only | trial 0] stop=end_turn tool_calls=25 rejected=1 tokens=197491 artifacts=0
[task 064 | arm cli-skills | trial 0] stop=max_turns tool_calls=42 rejected=8 tokens=372862 artifacts=0
[task 065 | arm cli-only | trial 0] stop=setup_failed tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 065 | arm cli-skills | trial 0] stop=setup_failed tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 066 | arm cli-only | trial 0] stop=end_turn tool_calls=22 rejected=1 tokens=208637 artifacts=0
[task 066 | arm cli-skills | trial 0] stop=end_turn tool_calls=27 rejected=0 tokens=111395 artifacts=0
[task 067 | arm cli-only | trial 0] stop=end_turn tool_calls=15 rejected=0 tokens=28497 artifacts=0
[task 067 | arm cli-skills | trial 0] stop=end_turn tool_calls=32 rejected=4 tokens=66528 artifacts=0
[task 068 | arm cli-only | trial 0] stop=setup_failed tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 068 | arm cli-skills | trial 0] stop=setup_failed tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 069 | arm cli-only | trial 0] stop=end_turn tool_calls=39 rejected=0 tokens=236561 artifacts=0
[task 069 | arm cli-skills | trial 0] stop=max_turns tool_calls=25 rejected=0 tokens=141806 artifacts=0
[task 070 | arm cli-only | trial 0] stop=end_turn tool_calls=39 rejected=0 tokens=321636 artifacts=0
[task 070 | arm cli-skills | trial 0] stop=max_turns tool_calls=42 rejected=11 tokens=391896 artifacts=0
[task 071 | arm cli-only | trial 0] stop=end_turn tool_calls=3 rejected=0 tokens=16320 artifacts=0
[task 071 | arm cli-skills | trial 0] stop=end_turn tool_calls=3 rejected=0 tokens=23415 artifacts=0
[task 072 | arm cli-only | trial 0] stop=end_turn tool_calls=5 rejected=0 tokens=12294 artifacts=0
[task 072 | arm cli-skills | trial 0] stop=end_turn tool_calls=4 rejected=0 tokens=19011 artifacts=0
[task 073 | arm cli-only | trial 0] stop=setup_failed tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 073 | arm cli-skills | trial 0] stop=setup_failed tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 074 | arm cli-only | trial 0] stop=end_turn tool_calls=12 rejected=0 tokens=42693 artifacts=0
[task 074 | arm cli-skills | trial 0] stop=end_turn tool_calls=4 rejected=0 tokens=24263 artifacts=0
[task 075 | arm cli-only | trial 0] stop=end_turn tool_calls=13 rejected=1 tokens=38059 artifacts=0
[task 075 | arm cli-skills | trial 0] stop=end_turn tool_calls=6 rejected=0 tokens=40622 artifacts=0
[task 076 | arm cli-only | trial 0] stop=end_turn tool_calls=3 rejected=0 tokens=8132 artifacts=0
[task 076 | arm cli-skills | trial 0] stop=end_turn tool_calls=3 rejected=0 tokens=15104 artifacts=0
[task 077 | arm cli-only | trial 0] stop=setup_failed tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 077 | arm cli-skills | trial 0] stop=setup_failed tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 078 | arm cli-only | trial 0] stop=end_turn tool_calls=4 rejected=0 tokens=9303 artifacts=0
[task 078 | arm cli-skills | trial 0] stop=end_turn tool_calls=4 rejected=0 tokens=16214 artifacts=0
[task 079 | arm cli-only | trial 0] stop=setup_failed tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 079 | arm cli-skills | trial 0] stop=setup_failed tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 080 | arm cli-only | trial 0] stop=end_turn tool_calls=5 rejected=0 tokens=14391 artifacts=0
[task 080 | arm cli-skills | trial 0] stop=end_turn tool_calls=4 rejected=0 tokens=19421 artifacts=0
[task 081 | arm cli-only | trial 0] stop=end_turn tool_calls=2 rejected=0 tokens=6918 artifacts=0
[task 081 | arm cli-skills | trial 0] stop=end_turn tool_calls=2 rejected=0 tokens=12195 artifacts=0
[task 082 | arm cli-only | trial 0] stop=end_turn tool_calls=2 rejected=0 tokens=5955 artifacts=0
[task 082 | arm cli-skills | trial 0] stop=end_turn tool_calls=2 rejected=0 tokens=11275 artifacts=0
[task 083 | arm cli-only | trial 0] stop=end_turn tool_calls=4 rejected=0 tokens=24964 artifacts=0
[task 083 | arm cli-skills | trial 0] stop=end_turn tool_calls=3 rejected=0 tokens=25209 artifacts=0
[task 084 | arm cli-only | trial 0] stop=end_turn tool_calls=5 rejected=0 tokens=12816 artifacts=0
[task 084 | arm cli-skills | trial 0] stop=end_turn tool_calls=2 rejected=0 tokens=11163 artifacts=0
[task 085 | arm cli-only | trial 0] stop=setup_failed tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 085 | arm cli-skills | trial 0] stop=setup_failed tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 086 | arm cli-only | trial 0] stop=end_turn tool_calls=18 rejected=1 tokens=76005 artifacts=0
[task 086 | arm cli-skills | trial 0] stop=tool_use tool_calls=0 rejected=0 tokens=3802 artifacts=0
[task 087 | arm cli-only | trial 0] stop=end_turn tool_calls=8 rejected=0 tokens=23643 artifacts=0
[task 087 | arm cli-skills | trial 0] stop=end_turn tool_calls=5 rejected=0 tokens=13968 artifacts=0
[task 088 | arm cli-only | trial 0] stop=end_turn tool_calls=17 rejected=2 tokens=45776 artifacts=0
[task 088 | arm cli-skills | trial 0] stop=end_turn tool_calls=0 rejected=0 tokens=9126 artifacts=0
[task 089 | arm cli-only | trial 0] stop=end_turn tool_calls=11 rejected=0 tokens=70823 artifacts=0
[task 089 | arm cli-skills | trial 0] stop=end_turn tool_calls=7 rejected=0 tokens=16008 artifacts=0
[task 090 | arm cli-only | trial 0] stop=end_turn tool_calls=19 rejected=1 tokens=76912 artifacts=0
[task 090 | arm cli-skills | trial 0] stop=end_turn tool_calls=7 rejected=0 tokens=17116 artifacts=0
[task 091 | arm cli-only | trial 0] stop=end_turn tool_calls=19 rejected=0 tokens=47871 artifacts=0
[task 091 | arm cli-skills | trial 0] stop=end_turn tool_calls=4 rejected=0 tokens=19985 artifacts=0
[task 092 | arm cli-only | trial 0] stop=max_turns tool_calls=63 rejected=0 tokens=268750 artifacts=0
[task 092 | arm cli-skills | trial 0] stop=end_turn tool_calls=29 rejected=4 tokens=171671 artifacts=0
[task 093 | arm cli-only | trial 0] stop=end_turn tool_calls=6 rejected=0 tokens=12491 artifacts=0
[task 093 | arm cli-skills | trial 0] stop=end_turn tool_calls=7 rejected=0 tokens=23576 artifacts=0
[task 094 | arm cli-only | trial 0] stop=end_turn tool_calls=6 rejected=1 tokens=32485 artifacts=0
[task 094 | arm cli-skills | trial 0] stop=end_turn tool_calls=5 rejected=0 tokens=15518 artifacts=0
[task 095 | arm cli-only | trial 0] stop=end_turn tool_calls=22 rejected=2 tokens=103976 artifacts=0
[task 095 | arm cli-skills | trial 0] stop=end_turn tool_calls=0 rejected=0 tokens=9266 artifacts=0
[task 096 | arm cli-only | trial 0] stop=max_turns tool_calls=28 rejected=8 tokens=165110 artifacts=0
[task 096 | arm cli-skills | trial 0] stop=max_turns tool_calls=28 rejected=17 tokens=215458 artifacts=0
[task 097 | arm cli-only | trial 0] stop=end_turn tool_calls=9 rejected=0 tokens=30653 artifacts=0
[task 097 | arm cli-skills | trial 0] stop=end_turn tool_calls=7 rejected=0 tokens=47771 artifacts=0
[task 098 | arm cli-only | trial 0] stop=setup_failed tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 098 | arm cli-skills | trial 0] stop=setup_failed tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 099 | arm cli-only | trial 0] stop=end_turn tool_calls=26 rejected=0 tokens=49301 artifacts=0
[task 099 | arm cli-skills | trial 0] stop=end_turn tool_calls=0 rejected=0 tokens=8406 artifacts=0
[task 100 | arm cli-only | trial 0] stop=end_turn tool_calls=33 rejected=1 tokens=184498 artifacts=0
[task 100 | arm cli-skills | trial 0] stop=end_turn tool_calls=44 rejected=0 tokens=159199 artifacts=0

results written to: /Users/connorobrien/Documents/CLI_VS_SKILLS/results/qwen-plus-tooled
