[task 000 | arm cli-only | trial 0] stop=end_turn tool_calls=1 rejected=0 tokens=3415 artifacts=1
[task 031 | arm cli-skills | trial 0] stop=end_turn tool_calls=7 rejected=0 tokens=22823 artifacts=0
[task 032 | arm cli-only | trial 0] stop=end_turn tool_calls=10 rejected=0 tokens=16279 artifacts=0
[task 032 | arm cli-skills | trial 0] stop=end_turn tool_calls=4 rejected=0 tokens=16357 artifacts=0
[task 033 | arm cli-only | trial 0] stop=end_turn tool_calls=6 rejected=1 tokens=34995 artifacts=0
[task 033 | arm cli-skills | trial 0] stop=end_turn tool_calls=2 rejected=0 tokens=16069 artifacts=0
[task 034 | arm cli-only | trial 0] stop=max_turns tool_calls=60 rejected=3 tokens=253977 artifacts=0
[task 034 | arm cli-skills | trial 0] stop=max_turns tool_calls=46 rejected=0 tokens=286537 artifacts=0
[task 035 | arm cli-only | trial 0] stop=max_turns tool_calls=45 rejected=5 tokens=443794 artifacts=0
[task 035 | arm cli-skills | trial 0] stop=max_turns tool_calls=41 rejected=3 tokens=396896 artifacts=0
[task 036 | arm cli-only | trial 0] stop=max_turns tool_calls=25 rejected=0 tokens=194208 artifacts=0
[task 036 | arm cli-skills | trial 0] stop=max_turns tool_calls=25 rejected=0 tokens=236698 artifacts=0
[task 037 | arm cli-only | trial 0] stop=end_turn tool_calls=24 rejected=0 tokens=49208 artifacts=0
[task 037 | arm cli-skills | trial 0] stop=end_turn tool_calls=22 rejected=0 tokens=52438 artifacts=0
[task 038 | arm cli-only | trial 0] stop=end_turn tool_calls=21 rejected=0 tokens=83215 artifacts=0
[task 038 | arm cli-skills | trial 0] stop=end_turn tool_calls=7 rejected=0 tokens=38283 artifacts=0
[task 039 | arm cli-only | trial 0] stop=end_turn tool_calls=11 rejected=0 tokens=32339 artifacts=0
[task 039 | arm cli-skills | trial 0] stop=max_turns tool_calls=26 rejected=10 tokens=246477 artifacts=0
[task 040 | arm cli-only | trial 0] stop=end_turn tool_calls=2 rejected=0 tokens=8942 artifacts=0
[task 040 | arm cli-skills | trial 0] stop=end_turn tool_calls=2 rejected=0 tokens=13995 artifacts=0
[task 041 | arm cli-only | trial 0] stop=end_turn tool_calls=4 rejected=0 tokens=14137 artifacts=0
[task 041 | arm cli-skills | trial 0] stop=end_turn tool_calls=3 rejected=0 tokens=18716 artifacts=0
[task 042 | arm cli-only | trial 0] stop=end_turn tool_calls=5 rejected=0 tokens=15337 artifacts=0
[task 042 | arm cli-skills | trial 0] stop=end_turn tool_calls=4 rejected=0 tokens=10517 artifacts=0
[task 043 | arm cli-only | trial 0] stop=end_turn tool_calls=9 rejected=0 tokens=11866 artifacts=0
[task 043 | arm cli-skills | trial 0] stop=end_turn tool_calls=4 rejected=0 tokens=15138 artifacts=0
[task 044 | arm cli-only | trial 0] stop=end_turn tool_calls=5 rejected=0 tokens=7720 artifacts=0
[task 044 | arm cli-skills | trial 0] stop=end_turn tool_calls=0 rejected=0 tokens=7101 artifacts=0
[task 045 | arm cli-only | trial 0] stop=end_turn tool_calls=2 rejected=0 tokens=5961 artifacts=0
[task 045 | arm cli-skills | trial 0] stop=end_turn tool_calls=3 rejected=0 tokens=20644 artifacts=0
[task 046 | arm cli-only | trial 0] stop=setup_failed tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 046 | arm cli-skills | trial 0] stop=setup_failed tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 047 | arm cli-only | trial 0] stop=end_turn tool_calls=18 rejected=0 tokens=42238 artifacts=0
[task 047 | arm cli-skills | trial 0] stop=end_turn tool_calls=7 rejected=0 tokens=26984 artifacts=0
[task 048 | arm cli-only | trial 0] stop=end_turn tool_calls=22 rejected=0 tokens=49570 artifacts=0
[task 048 | arm cli-skills | trial 0] stop=end_turn tool_calls=6 rejected=0 tokens=19973 artifacts=0
[task 049 | arm cli-only | trial 0] stop=end_turn tool_calls=28 rejected=0 tokens=152768 artifacts=0
[task 049 | arm cli-skills | trial 0] stop=end_turn tool_calls=0 rejected=0 tokens=7163 artifacts=0
[task 050 | arm cli-only | trial 0] stop=end_turn tool_calls=14 rejected=0 tokens=17057 artifacts=0
[task 050 | arm cli-skills | trial 0] stop=end_turn tool_calls=25 rejected=0 tokens=45236 artifacts=0
[task 051 | arm cli-only | trial 0] stop=setup_failed tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 051 | arm cli-skills | trial 0] stop=setup_failed tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 052 | arm cli-only | trial 0] stop=max_turns tool_calls=32 rejected=1 tokens=313346 artifacts=0
[task 052 | arm cli-skills | trial 0] stop=max_turns tool_calls=32 rejected=1 tokens=177478 artifacts=0
[task 053 | arm cli-only | trial 0] stop=end_turn tool_calls=8 rejected=0 tokens=12752 artifacts=0
[task 053 | arm cli-skills | trial 0] stop=end_turn tool_calls=5 rejected=0 tokens=19705 artifacts=0
[task 054 | arm cli-only | trial 0] stop=end_turn tool_calls=30 rejected=1 tokens=43980 artifacts=0
[task 054 | arm cli-skills | trial 0] stop=end_turn tool_calls=15 rejected=0 tokens=67666 artifacts=0
[task 055 | arm cli-only | trial 0] stop=setup_failed tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 055 | arm cli-skills | trial 0] stop=setup_failed tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 056 | arm cli-only | trial 0] stop=max_turns tool_calls=60 rejected=2 tokens=243480 artifacts=0
[task 056 | arm cli-skills | trial 0] stop=end_turn tool_calls=28 rejected=2 tokens=204048 artifacts=0
[task 057 | arm cli-only | trial 0] stop=end_turn tool_calls=14 rejected=0 tokens=27473 artifacts=0
[task 057 | arm cli-skills | trial 0] stop=end_turn tool_calls=6 rejected=0 tokens=27389 artifacts=0
[task 058 | arm cli-only | trial 0] stop=max_turns tool_calls=25 rejected=8 tokens=236874 artifacts=0
[task 058 | arm cli-skills | trial 0] stop=end_turn tool_calls=9 rejected=0 tokens=24875 artifacts=0
[task 059 | arm cli-only | trial 0] stop=setup_failed tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 059 | arm cli-skills | trial 0] stop=setup_failed tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 060 | arm cli-only | trial 0] stop=end_turn tool_calls=31 rejected=0 tokens=80909 artifacts=0
[task 060 | arm cli-skills | trial 0] stop=end_turn tool_calls=22 rejected=0 tokens=136550 artifacts=0
[task 061 | arm cli-only | trial 0] stop=max_turns tool_calls=66 rejected=0 tokens=261787 artifacts=0
[task 061 | arm cli-skills | trial 0] stop=end_turn tool_calls=54 rejected=2 tokens=370046 artifacts=0
[task 062 | arm cli-only | trial 0] stop=max_turns tool_calls=34 rejected=6 tokens=148275 artifacts=0
[task 062 | arm cli-skills | trial 0] stop=max_turns tool_calls=23 rejected=0 tokens=189291 artifacts=0
[task 063 | arm cli-only | trial 0] stop=end_turn tool_calls=38 rejected=5 tokens=113865 artifacts=0
[task 063 | arm cli-skills | trial 0] stop=end_turn tool_calls=37 rejected=2 tokens=290772 artifacts=0
[task 064 | arm cli-only | trial 0] stop=end_turn tool_calls=68 rejected=0 tokens=103665 artifacts=0
[task 064 | arm cli-skills | trial 0] stop=max_turns tool_calls=37 rejected=4 tokens=397582 artifacts=0
[task 065 | arm cli-only | trial 0] stop=setup_failed tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 065 | arm cli-skills | trial 0] stop=setup_failed tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 066 | arm cli-only | trial 0] stop=max_turns tool_calls=25 rejected=2 tokens=218212 artifacts=0
[task 066 | arm cli-skills | trial 0] stop=end_turn tool_calls=23 rejected=1 tokens=158816 artifacts=0
[task 067 | arm cli-only | trial 0] stop=end_turn tool_calls=53 rejected=3 tokens=299377 artifacts=0
[task 067 | arm cli-skills | trial 0] stop=max_turns tool_calls=51 rejected=4 tokens=216251 artifacts=0
[task 068 | arm cli-only | trial 0] stop=setup_failed tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 068 | arm cli-skills | trial 0] stop=setup_failed tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 069 | arm cli-only | trial 0] stop=max_turns tool_calls=25 rejected=0 tokens=212573 artifacts=0
[task 069 | arm cli-skills | trial 0] stop=max_turns tool_calls=25 rejected=0 tokens=288029 artifacts=0
[task 070 | arm cli-only | trial 0] stop=max_turns tool_calls=77 rejected=9 tokens=659113 artifacts=0
[task 070 | arm cli-skills | trial 0] stop=max_turns tool_calls=47 rejected=9 tokens=396295 artifacts=0
[task 071 | arm cli-only | trial 0] stop=end_turn tool_calls=2 rejected=0 tokens=8383 artifacts=0
[task 071 | arm cli-skills | trial 0] stop=end_turn tool_calls=3 rejected=0 tokens=20000 artifacts=0
[task 072 | arm cli-only | trial 0] stop=end_turn tool_calls=4 rejected=0 tokens=8574 artifacts=0
[task 072 | arm cli-skills | trial 0] stop=end_turn tool_calls=4 rejected=0 tokens=16991 artifacts=0
[task 073 | arm cli-only | trial 0] stop=setup_failed tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 073 | arm cli-skills | trial 0] stop=setup_failed tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 074 | arm cli-only | trial 0] stop=end_turn tool_calls=11 rejected=0 tokens=23962 artifacts=0
[task 074 | arm cli-skills | trial 0] stop=end_turn tool_calls=4 rejected=0 tokens=21478 artifacts=0
[task 075 | arm cli-only | trial 0] stop=end_turn tool_calls=14 rejected=0 tokens=33117 artifacts=0
[task 075 | arm cli-skills | trial 0] stop=end_turn tool_calls=8 rejected=0 tokens=37189 artifacts=0
[task 076 | arm cli-only | trial 0] stop=end_turn tool_calls=2 rejected=0 tokens=4969 artifacts=0
[task 076 | arm cli-skills | trial 0] stop=end_turn tool_calls=2 rejected=0 tokens=10061 artifacts=0
[task 077 | arm cli-only | trial 0] stop=setup_failed tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 077 | arm cli-skills | trial 0] stop=setup_failed tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 078 | arm cli-only | trial 0] stop=end_turn tool_calls=4 rejected=0 tokens=9454 artifacts=0
[task 078 | arm cli-skills | trial 0] stop=end_turn tool_calls=4 rejected=0 tokens=15229 artifacts=0
[task 079 | arm cli-only | trial 0] stop=setup_failed tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 079 | arm cli-skills | trial 0] stop=setup_failed tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 080 | arm cli-only | trial 0] stop=end_turn tool_calls=10 rejected=1 tokens=70657 artifacts=0
[task 080 | arm cli-skills | trial 0] stop=end_turn tool_calls=4 rejected=0 tokens=17222 artifacts=0
[task 081 | arm cli-only | trial 0] stop=end_turn tool_calls=2 rejected=0 tokens=5904 artifacts=0
[task 081 | arm cli-skills | trial 0] stop=end_turn tool_calls=2 rejected=0 tokens=10965 artifacts=0
[task 082 | arm cli-only | trial 0] stop=end_turn tool_calls=3 rejected=0 tokens=7004 artifacts=0
[task 082 | arm cli-skills | trial 0] stop=end_turn tool_calls=2 rejected=0 tokens=10138 artifacts=0
[task 083 | arm cli-only | trial 0] stop=end_turn tool_calls=3 rejected=0 tokens=15024 artifacts=0
[task 083 | arm cli-skills | trial 0] stop=end_turn tool_calls=3 rejected=0 tokens=21934 artifacts=0
[task 084 | arm cli-only | trial 0] stop=end_turn tool_calls=5 rejected=0 tokens=10848 artifacts=0
[task 084 | arm cli-skills | trial 0] stop=end_turn tool_calls=3 rejected=0 tokens=13599 artifacts=0
[task 085 | arm cli-only | trial 0] stop=setup_failed tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 085 | arm cli-skills | trial 0] stop=setup_failed tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 086 | arm cli-only | trial 0] stop=end_turn tool_calls=23 rejected=0 tokens=64045 artifacts=0
[task 086 | arm cli-skills | trial 0] stop=end_turn tool_calls=11 rejected=0 tokens=33731 artifacts=0
[task 087 | arm cli-only | trial 0] stop=end_turn tool_calls=12 rejected=0 tokens=36316 artifacts=0
[task 087 | arm cli-skills | trial 0] stop=end_turn tool_calls=6 rejected=0 tokens=16777 artifacts=0
[task 088 | arm cli-only | trial 0] stop=end_turn tool_calls=18 rejected=0 tokens=42263 artifacts=0
[task 088 | arm cli-skills | trial 0] stop=max_turns tool_calls=26 rejected=4 tokens=190900 artifacts=0
[task 089 | arm cli-only | trial 0] stop=end_turn tool_calls=8 rejected=0 tokens=32486 artifacts=0
[task 089 | arm cli-skills | trial 0] stop=max_turns tool_calls=25 rejected=6 tokens=256190 artifacts=0
[task 090 | arm cli-only | trial 0] stop=end_turn tool_calls=21 rejected=0 tokens=25479 artifacts=0
[task 090 | arm cli-skills | trial 0] stop=end_turn tool_calls=9 rejected=0 tokens=42867 artifacts=0
[task 091 | arm cli-only | trial 0] stop=max_turns tool_calls=37 rejected=0 tokens=95379 artifacts=0
[task 091 | arm cli-skills | trial 0] stop=end_turn tool_calls=12 rejected=3 tokens=83053 artifacts=0
[task 092 | arm cli-only | trial 0] stop=max_turns tool_calls=45 rejected=1 tokens=333282 artifacts=0
[task 092 | arm cli-skills | trial 0] stop=end_turn tool_calls=31 rejected=0 tokens=227156 artifacts=0
[task 093 | arm cli-only | trial 0] stop=end_turn tool_calls=8 rejected=0 tokens=11039 artifacts=0
[task 093 | arm cli-skills | trial 0] stop=end_turn tool_calls=14 rejected=0 tokens=30943 artifacts=0
[task 094 | arm cli-only | trial 0] stop=end_turn tool_calls=6 rejected=1 tokens=34545 artifacts=0
[task 094 | arm cli-skills | trial 0] stop=end_turn tool_calls=7 rejected=1 tokens=36991 artifacts=0
[task 095 | arm cli-only | trial 0] stop=max_turns tool_calls=27 rejected=0 tokens=63588 artifacts=0
[task 095 | arm cli-skills | trial 0] stop=end_turn tool_calls=0 rejected=0 tokens=7908 artifacts=0
[task 096 | arm cli-only | trial 0] stop=max_turns tool_calls=36 rejected=8 tokens=373422 artifacts=0
[task 096 | arm cli-skills | trial 0] stop=max_turns tool_calls=26 rejected=18 tokens=270111 artifacts=0
[task 097 | arm cli-only | trial 0] stop=max_turns tool_calls=30 rejected=0 tokens=217135 artifacts=0
[task 097 | arm cli-skills | trial 0] stop=end_turn tool_calls=8 rejected=0 tokens=30166 artifacts=0
[task 098 | arm cli-only | trial 0] stop=setup_failed tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 098 | arm cli-skills | trial 0] stop=setup_failed tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 099 | arm cli-only | trial 0] stop=end_turn tool_calls=37 rejected=0 tokens=62297 artifacts=0
[task 099 | arm cli-skills | trial 0] stop=end_turn tool_calls=0 rejected=0 tokens=7585 artifacts=0
[task 100 | arm cli-only | trial 0] stop=max_turns tool_calls=63 rejected=2 tokens=564144 artifacts=0
[task 100 | arm cli-skills | trial 0] stop=max_turns tool_calls=61 rejected=8 tokens=538010 artifacts=0

results written to: /Users/connorobrien/Documents/CLI_VS_SKILLS/results/zai-glm-tooled
