[task 000 | arm cli-only | trial 0] stop=end_turn tool_calls=1 rejected=0 tokens=3701 artifacts=1
[task 024 | arm cli-only | trial 0] stop=max_tokens tool_calls=15 rejected=11 tokens=69220 artifacts=0
[task 024 | arm cli-skills | trial 0] stop=max_turns tool_calls=24 rejected=13 tokens=162460 artifacts=0
[task 025 | arm cli-only | trial 0] stop=end_turn tool_calls=13 rejected=0 tokens=27575 artifacts=0
[task 025 | arm cli-skills | trial 0] stop=end_turn tool_calls=12 rejected=0 tokens=64171 artifacts=0
[task 026 | arm cli-only | trial 0] stop=end_turn tool_calls=26 rejected=0 tokens=56730 artifacts=0
[task 026 | arm cli-skills | trial 0] stop=end_turn tool_calls=11 rejected=1 tokens=64604 artifacts=0
[task 027 | arm cli-only | trial 0] stop=end_turn tool_calls=13 rejected=0 tokens=47081 artifacts=0
[task 027 | arm cli-skills | trial 0] stop=end_turn tool_calls=10 rejected=2 tokens=59852 artifacts=0
[task 028 | arm cli-only | trial 0] stop=max_turns tool_calls=74 rejected=7 tokens=539598 artifacts=0
[task 028 | arm cli-skills | trial 0] stop=end_turn tool_calls=26 rejected=1 tokens=115685 artifacts=0
[task 029 | arm cli-only | trial 0] stop=max_turns tool_calls=51 rejected=0 tokens=368743 artifacts=0
[task 029 | arm cli-skills | trial 0] stop=end_turn tool_calls=31 rejected=2 tokens=104082 artifacts=0
[task 030 | arm cli-only | trial 0] stop=end_turn tool_calls=10 rejected=0 tokens=15573 artifacts=0
[task 030 | arm cli-skills | trial 0] stop=end_turn tool_calls=4 rejected=0 tokens=20182 artifacts=0
[task 031 | arm cli-only | trial 0] stop=end_turn tool_calls=36 rejected=10 tokens=292387 artifacts=0
[task 031 | arm cli-skills | trial 0] stop=end_turn tool_calls=7 rejected=0 tokens=25605 artifacts=0
[task 032 | arm cli-only | trial 0] stop=end_turn tool_calls=6 rejected=0 tokens=11191 artifacts=0
[task 032 | arm cli-skills | trial 0] stop=end_turn tool_calls=4 rejected=0 tokens=22885 artifacts=0
[task 033 | arm cli-only | trial 0] stop=end_turn tool_calls=4 rejected=0 tokens=17150 artifacts=0
[task 033 | arm cli-skills | trial 0] stop=end_turn tool_calls=2 rejected=0 tokens=16319 artifacts=0
[task 034 | arm cli-only | trial 0] stop=max_turns tool_calls=46 rejected=0 tokens=281310 artifacts=0
[task 034 | arm cli-skills | trial 0] stop=max_turns tool_calls=45 rejected=0 tokens=259136 artifacts=0
[task 035 | arm cli-only | trial 0] stop=max_turns tool_calls=48 rejected=5 tokens=432312 artifacts=0
[task 035 | arm cli-skills | trial 0] stop=max_tokens tool_calls=39 rejected=0 tokens=326724 artifacts=0
[task 036 | arm cli-only | trial 0] stop=end_turn tool_calls=20 rejected=0 tokens=44706 artifacts=0
[task 036 | arm cli-skills | trial 0] stop=end_turn tool_calls=10 rejected=0 tokens=35469 artifacts=0
[task 037 | arm cli-only | trial 0] stop=max_turns tool_calls=59 rejected=1 tokens=563234 artifacts=0
[task 037 | arm cli-skills | trial 0] stop=end_turn tool_calls=13 rejected=0 tokens=38845 artifacts=0
[task 038 | arm cli-only | trial 0] stop=end_turn tool_calls=4 rejected=0 tokens=12027 artifacts=0
[task 038 | arm cli-skills | trial 0] stop=end_turn tool_calls=6 rejected=0 tokens=27245 artifacts=0
[task 039 | arm cli-only | trial 0] stop=end_turn tool_calls=11 rejected=6 tokens=76293 artifacts=0
[task 039 | arm cli-skills | trial 0] stop=end_turn tool_calls=6 rejected=0 tokens=39267 artifacts=0
[task 040 | arm cli-only | trial 0] stop=end_turn tool_calls=2 rejected=0 tokens=9814 artifacts=0
[task 040 | arm cli-skills | trial 0] stop=end_turn tool_calls=2 rejected=0 tokens=15140 artifacts=0
[task 041 | arm cli-only | trial 0] stop=end_turn tool_calls=4 rejected=0 tokens=16095 artifacts=0
[task 041 | arm cli-skills | trial 0] stop=end_turn tool_calls=4 rejected=0 tokens=30842 artifacts=0
[task 042 | arm cli-only | trial 0] stop=end_turn tool_calls=5 rejected=0 tokens=16908 artifacts=0
[task 042 | arm cli-skills | trial 0] stop=end_turn tool_calls=2 rejected=0 tokens=12590 artifacts=0
[task 043 | arm cli-only | trial 0] stop=end_turn tool_calls=21 rejected=4 tokens=48911 artifacts=0
[task 043 | arm cli-skills | trial 0] stop=end_turn tool_calls=0 rejected=0 tokens=7625 artifacts=0
[task 044 | arm cli-only | trial 0] stop=end_turn tool_calls=5 rejected=0 tokens=8419 artifacts=0
[task 044 | arm cli-skills | trial 0] stop=end_turn tool_calls=0 rejected=0 tokens=7477 artifacts=0
[task 045 | arm cli-only | trial 0] stop=end_turn tool_calls=2 rejected=0 tokens=6965 artifacts=0
[task 045 | arm cli-skills | trial 0] stop=end_turn tool_calls=2 rejected=0 tokens=18480 artifacts=0
[task 046 | arm cli-only | trial 0] stop=setup_failed tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 046 | arm cli-skills | trial 0] stop=setup_failed tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 047 | arm cli-only | trial 0] stop=end_turn tool_calls=13 rejected=0 tokens=35136 artifacts=0
[task 047 | arm cli-skills | trial 0] stop=end_turn tool_calls=5 rejected=1 tokens=29000 artifacts=0
[task 048 | arm cli-only | trial 0] stop=end_turn tool_calls=12 rejected=0 tokens=17803 artifacts=0
[task 048 | arm cli-skills | trial 0] stop=end_turn tool_calls=3 rejected=0 tokens=20726 artifacts=0
[task 049 | arm cli-only | trial 0] stop=end_turn tool_calls=16 rejected=0 tokens=46252 artifacts=0
[task 049 | arm cli-skills | trial 0] stop=end_turn tool_calls=0 rejected=0 tokens=7567 artifacts=0
[task 050 | arm cli-only | trial 0] stop=end_turn tool_calls=19 rejected=0 tokens=49236 artifacts=0
[task 050 | arm cli-skills | trial 0] stop=end_turn tool_calls=22 rejected=0 tokens=21720 artifacts=0
[task 051 | arm cli-only | trial 0] stop=setup_failed tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 051 | arm cli-skills | trial 0] stop=setup_failed tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 052 | arm cli-only | trial 0] stop=end_turn tool_calls=31 rejected=4 tokens=212475 artifacts=0
[task 052 | arm cli-skills | trial 0] stop=end_turn tool_calls=23 rejected=2 tokens=91920 artifacts=0
[task 053 | arm cli-only | trial 0] stop=end_turn tool_calls=8 rejected=1 tokens=17949 artifacts=0
[task 053 | arm cli-skills | trial 0] stop=end_turn tool_calls=6 rejected=1 tokens=21413 artifacts=0
[task 054 | arm cli-only | trial 0] stop=end_turn tool_calls=43 rejected=5 tokens=140746 artifacts=0
[task 054 | arm cli-skills | trial 0] stop=end_turn tool_calls=25 rejected=0 tokens=57706 artifacts=0
[task 055 | arm cli-only | trial 0] stop=setup_failed tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 055 | arm cli-skills | trial 0] stop=setup_failed tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 056 | arm cli-only | trial 0] stop=end_turn tool_calls=41 rejected=1 tokens=92963 artifacts=0
[task 056 | arm cli-skills | trial 0] stop=end_turn tool_calls=19 rejected=2 tokens=151217 artifacts=0
[task 057 | arm cli-only | trial 0] stop=end_turn tool_calls=15 rejected=0 tokens=25263 artifacts=0
[task 057 | arm cli-skills | trial 0] stop=end_turn tool_calls=5 rejected=0 tokens=24291 artifacts=0
[task 058 | arm cli-only | trial 0] stop=end_turn tool_calls=27 rejected=12 tokens=169604 artifacts=0
[task 058 | arm cli-skills | trial 0] stop=end_turn tool_calls=7 rejected=0 tokens=24906 artifacts=0
[task 059 | arm cli-only | trial 0] stop=setup_failed tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 059 | arm cli-skills | trial 0] stop=setup_failed tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 060 | arm cli-only | trial 0] stop=end_turn tool_calls=5 rejected=0 tokens=42030 artifacts=0
[task 060 | arm cli-skills | trial 0] stop=end_turn tool_calls=14 rejected=0 tokens=32895 artifacts=0
[task 061 | arm cli-only | trial 0] stop=end_turn tool_calls=65 rejected=2 tokens=237112 artifacts=0
[task 061 | arm cli-skills | trial 0] stop=end_turn tool_calls=41 rejected=0 tokens=109071 artifacts=0
[task 062 | arm cli-only | trial 0] stop=max_turns tool_calls=25 rejected=1 tokens=182357 artifacts=0
[task 062 | arm cli-skills | trial 0] stop=end_turn tool_calls=25 rejected=0 tokens=109745 artifacts=0
[task 063 | arm cli-only | trial 0] stop=end_turn tool_calls=32 rejected=5 tokens=44898 artifacts=0
[task 063 | arm cli-skills | trial 0] stop=end_turn tool_calls=42 rejected=4 tokens=82648 artifacts=0
[task 064 | arm cli-only | trial 0] stop=end_turn tool_calls=36 rejected=0 tokens=37700 artifacts=0
[task 064 | arm cli-skills | trial 0] stop=end_turn tool_calls=24 rejected=0 tokens=106737 artifacts=0
[task 065 | arm cli-only | trial 0] stop=setup_failed tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 065 | arm cli-skills | trial 0] stop=setup_failed tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 066 | arm cli-only | trial 0] stop=end_turn tool_calls=35 rejected=3 tokens=216832 artifacts=0
[task 066 | arm cli-skills | trial 0] stop=end_turn tool_calls=25 rejected=1 tokens=123563 artifacts=0
[task 067 | arm cli-only | trial 0] stop=end_turn tool_calls=24 rejected=0 tokens=25814 artifacts=0
[task 067 | arm cli-skills | trial 0] stop=end_turn tool_calls=81 rejected=35 tokens=544680 artifacts=0
[task 068 | arm cli-only | trial 0] stop=setup_failed tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 068 | arm cli-skills | trial 0] stop=setup_failed tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 069 | arm cli-only | trial 0] stop=end_turn tool_calls=17 rejected=0 tokens=24412 artifacts=0
[task 069 | arm cli-skills | trial 0] stop=end_turn tool_calls=37 rejected=0 tokens=150755 artifacts=0
[task 070 | arm cli-only | trial 0] stop=end_turn tool_calls=69 rejected=5 tokens=234658 artifacts=0
[task 070 | arm cli-skills | trial 0] stop=max_tokens tool_calls=60 rejected=0 tokens=272572 artifacts=0
[task 071 | arm cli-only | trial 0] stop=end_turn tool_calls=2 rejected=0 tokens=9474 artifacts=0
[task 071 | arm cli-skills | trial 0] stop=end_turn tool_calls=3 rejected=0 tokens=22006 artifacts=0
[task 072 | arm cli-only | trial 0] stop=end_turn tool_calls=4 rejected=0 tokens=9489 artifacts=0
[task 072 | arm cli-skills | trial 0] stop=end_turn tool_calls=5 rejected=0 tokens=22176 artifacts=0
[task 073 | arm cli-only | trial 0] stop=setup_failed tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 073 | arm cli-skills | trial 0] stop=setup_failed tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 074 | arm cli-only | trial 0] stop=end_turn tool_calls=14 rejected=0 tokens=38035 artifacts=0
[task 074 | arm cli-skills | trial 0] stop=end_turn tool_calls=4 rejected=0 tokens=23127 artifacts=0
[task 075 | arm cli-only | trial 0] stop=end_turn tool_calls=9 rejected=0 tokens=18866 artifacts=0
[task 075 | arm cli-skills | trial 0] stop=end_turn tool_calls=5 rejected=0 tokens=20934 artifacts=0
[task 076 | arm cli-only | trial 0] stop=end_turn tool_calls=2 rejected=0 tokens=5449 artifacts=0
[task 076 | arm cli-skills | trial 0] stop=end_turn tool_calls=3 rejected=0 tokens=14514 artifacts=0
[task 077 | arm cli-only | trial 0] stop=setup_failed tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 077 | arm cli-skills | trial 0] stop=setup_failed tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 078 | arm cli-only | trial 0] stop=end_turn tool_calls=4 rejected=0 tokens=8263 artifacts=0
[task 078 | arm cli-skills | trial 0] stop=end_turn tool_calls=4 rejected=0 tokens=16291 artifacts=0
[task 079 | arm cli-only | trial 0] stop=setup_failed tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 079 | arm cli-skills | trial 0] stop=setup_failed tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 080 | arm cli-only | trial 0] stop=end_turn tool_calls=5 rejected=0 tokens=12803 artifacts=0
[task 080 | arm cli-skills | trial 0] stop=end_turn tool_calls=4 rejected=0 tokens=18645 artifacts=0
[task 081 | arm cli-only | trial 0] stop=end_turn tool_calls=2 rejected=0 tokens=6494 artifacts=0
[task 081 | arm cli-skills | trial 0] stop=end_turn tool_calls=2 rejected=0 tokens=11753 artifacts=0
[task 082 | arm cli-only | trial 0] stop=end_turn tool_calls=2 rejected=0 tokens=5616 artifacts=0
[task 082 | arm cli-skills | trial 0] stop=end_turn tool_calls=2 rejected=0 tokens=10973 artifacts=0
[task 083 | arm cli-only | trial 0] stop=end_turn tool_calls=3 rejected=0 tokens=16610 artifacts=0
[task 083 | arm cli-skills | trial 0] stop=end_turn tool_calls=4 rejected=1 tokens=32316 artifacts=0
[task 084 | arm cli-only | trial 0] stop=end_turn tool_calls=6 rejected=0 tokens=10389 artifacts=0
[task 084 | arm cli-skills | trial 0] stop=end_turn tool_calls=2 rejected=0 tokens=15306 artifacts=0
[task 085 | arm cli-only | trial 0] stop=setup_failed tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 085 | arm cli-skills | trial 0] stop=setup_failed tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 086 | arm cli-only | trial 0] stop=end_turn tool_calls=35 rejected=2 tokens=67463 artifacts=0
[task 086 | arm cli-skills | trial 0] stop=end_turn tool_calls=12 rejected=0 tokens=39100 artifacts=0
[task 087 | arm cli-only | trial 0] stop=end_turn tool_calls=11 rejected=0 tokens=12201 artifacts=0
[task 087 | arm cli-skills | trial 0] stop=end_turn tool_calls=5 rejected=0 tokens=25448 artifacts=0
[task 088 | arm cli-only | trial 0] stop=end_turn tool_calls=13 rejected=2 tokens=40593 artifacts=0
[task 088 | arm cli-skills | trial 0] stop=end_turn tool_calls=0 rejected=0 tokens=8740 artifacts=0
[task 089 | arm cli-only | trial 0] stop=end_turn tool_calls=31 rejected=4 tokens=75461 artifacts=0
[task 089 | arm cli-skills | trial 0] stop=end_turn tool_calls=23 rejected=7 tokens=102700 artifacts=0
[task 090 | arm cli-only | trial 0] stop=end_turn tool_calls=26 rejected=0 tokens=65563 artifacts=0
[task 090 | arm cli-skills | trial 0] stop=end_turn tool_calls=6 rejected=0 tokens=18093 artifacts=0
[task 091 | arm cli-only | trial 0] stop=end_turn tool_calls=25 rejected=0 tokens=58940 artifacts=0
[task 091 | arm cli-skills | trial 0] stop=end_turn tool_calls=6 rejected=0 tokens=22011 artifacts=0
[task 092 | arm cli-only | trial 0] stop=max_turns tool_calls=60 rejected=0 tokens=196593 artifacts=0
[task 092 | arm cli-skills | trial 0] stop=end_turn tool_calls=12 rejected=3 tokens=43140 artifacts=0
[task 093 | arm cli-only | trial 0] stop=end_turn tool_calls=13 rejected=0 tokens=10609 artifacts=0
[task 093 | arm cli-skills | trial 0] stop=end_turn tool_calls=8 rejected=0 tokens=24361 artifacts=0
[task 094 | arm cli-only | trial 0] stop=end_turn tool_calls=6 rejected=0 tokens=37035 artifacts=0
[task 094 | arm cli-skills | trial 0] stop=end_turn tool_calls=3 rejected=1 tokens=16391 artifacts=0
[task 095 | arm cli-only | trial 0] stop=end_turn tool_calls=21 rejected=1 tokens=61946 artifacts=0
[task 095 | arm cli-skills | trial 0] stop=end_turn tool_calls=0 rejected=0 tokens=8255 artifacts=0
[task 096 | arm cli-only | trial 0] stop=max_turns tool_calls=34 rejected=14 tokens=358618 artifacts=0
[task 096 | arm cli-skills | trial 0] stop=max_turns tool_calls=30 rejected=20 tokens=221963 artifacts=0
[task 097 | arm cli-only | trial 0] stop=end_turn tool_calls=11 rejected=0 tokens=26924 artifacts=0
[task 097 | arm cli-skills | trial 0] stop=end_turn tool_calls=9 rejected=0 tokens=55915 artifacts=0
[task 098 | arm cli-only | trial 0] stop=setup_failed tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 098 | arm cli-skills | trial 0] stop=setup_failed tool_calls=0 rejected=0 tokens=0 artifacts=0
[task 099 | arm cli-only | trial 0] stop=end_turn tool_calls=26 rejected=0 tokens=26419 artifacts=0
[task 099 | arm cli-skills | trial 0] stop=end_turn tool_calls=0 rejected=0 tokens=8563 artifacts=0
[task 100 | arm cli-only | trial 0] stop=end_turn tool_calls=45 rejected=1 tokens=131638 artifacts=0
[task 100 | arm cli-skills | trial 0] stop=end_turn tool_calls=57 rejected=0 tokens=118490 artifacts=0

results written to: /Users/connorobrien/Documents/CLI_VS_SKILLS/results/xiaomi-mimo-tooled
